Date,DIA,DLN,DOG,DRIP,DSLV,DUST,DVY,DWTI,DXD,DXJ,EDC,EDZ,EEM,EEMV,EFA
4/30/2007,130.669998,60.419998,60.5,,,,73.43,,52.900002,55.560001,,,120.839996,,79.160004
5/1/2007,131.289993,60.470001,60.150002,,,,73.870003,,52.450001,55.639999,,,121.319996,,79.080002
5/2/2007,132.139999,60.799999,59.880001,,,,74.099998,,51.790001,55.880001,,,123.729984,,79.68
5/3/2007,132.389999,61.09,59.75,,,,74.449997,,51.52,56,,,124.77,,79.790001
5/4/2007,132.740005,61.200001,59.59,,,,74.660004,,51.259998,56.240002,,,124.730015,,80.540001
5/7/2007,133.039993,61.490002,59.52,,,,74.949997,,51.119999,56.43,,,125.540005,,80.660004
5/8/2007,133.119995,61.380001,59.52,,,,74.839996,,51.099998,56.150002,,,123.909988,,80
5/9/2007,133.570007,61.66,59.25,,,,74.949997,,50.740002,56.98,,,125.910004,,80.440002
5/10/2007,132.5,60.880001,59.900002,,,,74.120003,,51.580002,55.919998,,,122.829987,,78.849998
5/11/2007,133.559998,61.400002,59.380001,,,,74.839996,,50.889999,56.360001,,,125.949989,,80.18
5/14/2007,133.720001,61.310001,59.34,,,,74.779999,,50.700001,56.09,,,124.700008,,79.879997
5/15/2007,134.119995,61.369999,59.200001,,,,74.769997,,50.450001,55.830002,,,124.850006,,80.019997
5/16/2007,135.119995,61.849998,58.740002,,,,75.230003,,49.549999,55.950001,,,126.660004,,80.139999
5/17/2007,134.929993,61.799999,58.77,,,,75.120003,,49.810001,55.290001,,,126.200008,,79.730003
5/18/2007,135.5,62.150002,58.450001,,,,75.419998,,49.16,55.23,,,126.849987,,80.339996
5/21/2007,135.199997,62.139999,58.529999,,,,75.529999,,49.360001,55.310001,,,127.080002,,79.970001
5/22/2007,135.160004,62.110001,58.580002,,,,75.550003,,49.459999,55.779999,,,127.100006,,80.040001
5/23/2007,135.199997,62.049999,58.48,,,,75.220001,,49.389999,55.77,,,126.899998,,80.449997
5/24/2007,134.389999,61.450001,58.959999,,,,74.190002,,50.099998,55.220001,,,123.849987,,79.68
5/25/2007,134.889999,61.759998,58.720001,,,,74.470001,,49.720001,55.060001,,,125.750015,,80.190002
5/29/2007,135.220001,61.880001,58.73,,,,74.639999,,49.5,55.799999,,,125.319992,,80.290001
5/30/2007,136.279999,62.240002,58.25,,,,74.919998,,48.900002,55.650002,,,126.600002,,80.629997
5/31/2007,136.289993,62.209999,58.279999,,,,74.879997,,48.900002,56.279999,,,126.959999,,81.029999
6/1/2007,136.610001,62.470001,58.16,,,,75.239998,,48.700001,56.509998,,,130.130013,,81.559998
6/4/2007,136.559998,62.48,58.119999,,,,75.169998,,48.599998,56.669998,,,129.549992,,81.779999
6/5/2007,135.979996,62.060001,58.490002,,,,74.540001,,49.169998,56.709999,,,129.099987,,81.360001
